adwaita-icon-theme  48.1-1
libwayland-egl++1:arm64  1.0.0-6+b2
libwayland-egl1:arm64  1.23.1-3
libwayland-server0:arm64  1.23.1-3
libwayland-server++1:arm64  1.0.0-6+b2
libwbclient0:arm64  2:4.22.10+dfsg-0+deb13u2
libwebp7:arm64  1.5.0-0.1
libwebpmux3:arm64  1.5.0-0.1
libwebrtc-audio-processing-1-3:arm64  1.3-3+b1
libwoff1:arm64  1.0.2-2+b2
libx11-6:arm64  2:1.8.12-1
libx11-data  2:1.8.12-1
libx11-dev:arm64  2:1.8.12-1
libx11-xcb1:arm64  2:1.8.12-1
libx264-164:arm64  2:0.164.3108+git31e19f9-2+b1
libx265-215:arm64  4.1-2
libxapian30:arm64  1.4.29-3
libxau6:arm64  1:1.0.11-1
libxau-dev:arm64  1:1.0.11-1
libxcb1:arm64  1.17.0-2+b1
libxcb1-dev:arm64  1.17.0-2+b1
libxcb-dri3-0:arm64  1.17.0-2+b1
libxcb-glx0:arm64  1.17.0-2+b1
libxcb-present0:arm64  1.17.0-2+b1
libxcb-randr0:arm64  1.17.0-2+b1
libxcb-render0:arm64  1.17.0-2+b1
libxcb-shm0:arm64  1.17.0-2+b1
libxcb-sync1:arm64  1.17.0-2+b1
libxcb-xfixes0:arm64  1.17.0-2+b1
libxcb-xkb1:arm64  1.17.0-2+b1
libxcomposite1:arm64  1:0.4.6-1
libxcursor1:arm64  1:1.2.3-1
libxdamage1:arm64  1:1.1.6-1+b2
libxdmcp6:arm64  1:1.1.5-1
libxdmcp-dev:arm64  1:1.1.5-1
libxext6:arm64  2:1.3.4-1+b3
libxext-dev:arm64  2:1.3.4-1+b3
libxfixes3:arm64  1:6.0.0-2+b4
libxi6:arm64  2:1.8.2-1
libxinerama1:arm64  2:1.1.4-3+b4
libxkbcommon0:arm64  1.7.0-2
libxkbcommon-dev:arm64  1.7.0-2
libxkbcommon-x11-0:arm64  1.7.0-2
libxml2-dev:arm64  2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxpp3-java  1.1.4c-4
libxrandr2:arm64  2:1.5.4-1+b3
libxrandr-dev:arm64  2:1.5.4-1+b3
libxrender1:arm64  1:0.9.12-1
libxrender-dev:arm64  1:0.9.12-1
libxshmfence1:arm64  1.3.3-1
libxslt1.1:arm64  1.1.35-1.2+deb13u3
libxslt1-dev:arm64  1.1.35-1.2+deb13u3
libxstream-java  1.4.21-1
libxt6t64:arm64  1:1.2.1-1.2+b2
libxt-dev:arm64  1:1.2.1-1.2+b2
libxtst6:arm64  2:1.2.5-1
libxvidcore4:arm64  2:1.3.7-1+b2
libxxf86vm1:arm64  1:1.1.4-1+b4
libz3-4:arm64  4.13.3-1
libzimg2:arm64  3.0.5+ds1-1+b2
libzix-0-0:arm64  0.6.2-1
libzmq5:arm64  4.3.5-1+b3
libzvbi0t64:arm64  0.2.44-1
libzvbi-common  0.2.44-1
mariadb-common  1:11.8.6-0+deb13u1
mesa-libgallium:arm64  25.0.7-2+deb13u1
mesa-utils-bin:arm64  9.0.0-2+b2
mysql-common  5.8+1.1.1
native-architecture  0.2.6
nettle-dev:arm64  3.10.1-1
nlohmann-json3-dev  3.11.3-2.1
ocl-icd-libopencl1:arm64  2.3.3-1
openjdk-21-jre:arm64  21.0.12.1+1-1~deb13u1
openjdk-21-jre-headless:arm64  21.0.12.1+1-1~deb13u1
po-debconf  1.0.21+nmu1
python3.13-dev  3.13.5-2+deb13u4
python3-dev  3.13.5-1
python3-packaging  25.0-1
rapidjson-dev  1.1.0+dfsg2-7.4
samba-libs:arm64  2:4.22.10+dfsg-0+deb13u2
sgml-base  1.31+nmu1
shared-mime-info  2.4-5+b2
swig  4.3.0-1
unzip  6.0-29+deb13u1
uuid-dev:arm64  2.41.5-0+deb13u1
waylandpp-dev:arm64  1.0.0-6+b2
wayland-protocols  1.44-1
wayland-scanner++  1.0.0-6+b2
x11-common  1:7.7+24+deb13u1
x11proto-dev  2024.1-1
xml-core  0.19
xorg-sgml-doctools  1:1.11-1.1
xtrans-dev  1.4.0-1
zip  3.0-15+deb13u1
